,Word,Count,Length,Frequency
804,prythee,3,7,Infrequent
805,obey,7,4,Infrequent
806,louing,3,6,Infrequent
807,reply,2,5,Infrequent
808,gentle,4,6,Infrequent
809,vnforcd,1,7,Unique
810,accord,1,6,Unique
811,sits,4,4,Infrequent
812,smiling,3,7,Infrequent
813,whereof,1,7,Unique
814,iocond,1,6,Unique
815,health,5,6,Infrequent
816,drinkes,2,7,Infrequent
817,great,17,5,Frequent
818,clowds,1,6,Unique
819,telland,1,7,Unique
820,kings,6,5,Infrequent
821,rouce,1,5,Unique
822,heauens,10,7,Infrequent
823,bruite,2,6,Infrequent
824,respeaking,1,10,Unique
825,earthly,1,7,Unique
826,thunder,2,7,Infrequent
827,manet,3,5,Infrequent
828,solid,1,5,Unique
829,flesh,5,5,Infrequent
830,melt,2,4,Infrequent
831,thaw,1,4,Unique
832,resolue,1,7,Unique
833,into,26,4,Frequent
834,euerlasting,1,11,Unique
835,fixt,3,4,Infrequent
836,selfeslaughter,1,14,Unique
837,weary,2,5,Infrequent
838,stale,1,5,Unique
839,flat,3,4,Infrequent
840,vnprofitable,1,12,Unique
841,vses,2,4,Infrequent
842,fie,5,3,Infrequent
843,vnweeded,1,8,Unique
844,gardenthat,1,10,Unique
845,growes,4,6,Infrequent
846,seed,1,4,Unique
847,rank,1,4,Unique
848,possesse,1,8,Unique
849,meerely,2,7,Infrequent
850,months,1,6,Unique
851,excellent,10,9,Infrequent
852,hiperion,1,8,Unique
853,satyre,1,6,Unique
854,beteene,1,7,Unique
855,windes,2,6,Infrequent
856,visit,4,5,Infrequent
857,face,9,4,Infrequent
858,roughly,2,7,Infrequent
859,remember,11,8,Frequent
860,she,41,3,Frequent
861,encrease,1,8,Unique
862,appetite,1,8,Unique
863,growne,4,6,Infrequent
864,fed,1,3,Unique
865,month,2,5,Infrequent
866,frailty,1,7,Unique
867,name,7,4,Infrequent
868,woman,7,5,Infrequent
869,ere,15,3,Frequent
870,shooes,2,6,Infrequent
871,were,23,4,Frequent
872,followed,2,8,Infrequent
873,poore,19,5,Frequent
874,body,13,4,Frequent
875,niobe,1,5,Unique
876,teares,8,6,Infrequent
877,beast,3,5,Infrequent
878,wants,2,5,Infrequent
879,discourse,5,9,Infrequent
880,mournd,1,6,Unique
881,longer,4,6,Infrequent
882,married,2,7,Infrequent
883,vnkle,4,5,Infrequent
884,hercules,3,8,Infrequent
885,moneth,1,6,Unique
886,salt,2,4,Infrequent
887,vnrighteous,1,11,Unique
888,left,4,4,Infrequent
889,flushing,1,8,Unique
890,gauled,1,6,Unique
891,wicked,5,6,Infrequent
892,speed,4,5,Infrequent
893,post,1,4,Unique
894,dexterity,1,9,Unique
895,incestuous,4,10,Infrequent
896,sheets,1,6,Unique
897,tongue,14,6,Frequent
898,haile,1,5,Unique
899,lordship,6,8,Infrequent
900,glad,4,4,Infrequent
901,forget,4,6,Infrequent
902,seruant,2,7,Infrequent
903,change,2,6,Infrequent
904,faith,11,5,Frequent
905,wittemberge,1,11,Unique
906,truant,2,6,Infrequent
907,disposition,4,11,Infrequent
908,enemy,2,5,Infrequent
909,doe,49,3,Frequent
